timestamp,frame_id,filename,lat,lon
20260208_144731_989473,38,detection_38_20260208_144731_989473.jpg,5547.33892,03855.45600
20260208_144732_445548,40,detection_40_20260208_144732_445548.jpg,5547.33892,03855.45600
20260208_144732_909370,42,detection_42_20260208_144732_909370.jpg,5547.33892,03855.45600
20260208_144734_005451,46,detection_46_20260208_144734_005451.jpg,5547.33896,03855.45600
20260208_144735_069574,50,detection_50_20260208_144735_069574.jpg,5547.33896,03855.45600
20260208_144736_093284,54,detection_54_20260208_144736_093284.jpg,5547.33898,03855.45599
20260208_144736_552479,56,detection_56_20260208_144736_552479.jpg,5547.33898,03855.45599
20260208_144737_069641,58,detection_58_20260208_144737_069641.jpg,5547.33898,03855.45599
20260208_144800_927281,160,detection_160_20260208_144800_927281.jpg,5547.33899,03855.45575
20260208_144801_405730,162,detection_162_20260208_144801_405730.jpg,5547.33899,03855.45570
20260208_144804_891831,178,detection_178_20260208_144804_891831.jpg,5547.33899,03855.45563
20260208_144807_298245,188,detection_188_20260208_144807_298245.jpg,5547.33899,03855.45554
20260208_144808_204189,192,detection_192_20260208_144808_204189.jpg,5547.33899,03855.45554
20260208_144811_582940,206,detection_206_20260208_144811_582940.jpg,5547.33898,03855.45543
20260208_144816_132364,226,detection_226_20260208_144816_132364.jpg,5547.33919,03855.45553
