epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11040.4,1.67685,1.68085,1.67886,0.58456,0.50482,0.53756,0.25143,1.76837,1.5347,1.72451,0.000828443,0.000828443,0.000828443
43,11254.2,1.68122,1.69152,1.68092,0.57618,0.51277,0.53914,0.25442,1.75618,1.52995,1.71263,0.000820525,0.000820525,0.000820525
44,11487.4,1.67787,1.68019,1.6808,0.58267,0.51871,0.53928,0.25486,1.76594,1.52167,1.72193,0.000812468,0.000812468,0.000812468
45,11694.5,1.67543,1.67256,1.67404,0.57475,0.52534,0.54102,0.25778,1.77072,1.50981,1.72301,0.000804277,0.000804277,0.000804277
46,11899.5,1.66398,1.66352,1.66575,0.5702,0.52053,0.54144,0.2554,1.76453,1.5066,1.71393,0.000795954,0.000795954,0.000795954
47,12112,1.67044,1.64554,1.66412,0.57781,0.51288,0.53936,0.25375,1.77119,1.50601,1.71488,0.000787503,0.000787503,0.000787503
48,12316.5,1.67024,1.65131,1.66324,0.58029,0.50348,0.53827,0.25345,1.76766,1.50345,1.71319,0.000778929,0.000778929,0.000778929
49,12511,1.66735,1.6458,1.66824,0.59382,0.51295,0.54154,0.258,1.76118,1.49221,1.70754,0.000770234,0.000770234,0.000770234
50,12706.3,1.64764,1.62615,1.65723,0.59912,0.51895,0.54613,0.26038,1.76065,1.47771,1.70555,0.000761423,0.000761423,0.000761423
51,12900.9,1.65279,1.61453,1.65428,0.58664,0.52569,0.5481,0.26035,1.75894,1.47972,1.70363,0.0007525,0.0007525,0.0007525
52,13095.7,1.65131,1.61565,1.65615,0.57798,0.52411,0.54261,0.25802,1.75962,1.48153,1.70442,0.000743468,0.000743468,0.000743468
53,13290.1,1.64512,1.59807,1.64496,0.56845,0.54224,0.54268,0.25869,1.75421,1.47932,1.70108,0.000734332,0.000734332,0.000734332
54,13487.1,1.63993,1.59593,1.63852,0.58061,0.53254,0.54031,0.25861,1.75794,1.47355,1.70248,0.000725094,0.000725094,0.000725094
55,13696.8,1.64636,1.58869,1.64227,0.56813,0.54376,0.54504,0.26009,1.75516,1.47167,1.70212,0.000715761,0.000715761,0.000715761
56,13903.5,1.63921,1.58712,1.64127,0.5706,0.53937,0.54672,0.261,1.75386,1.46796,1.70102,0.000706335,0.000706335,0.000706335
57,14102,1.63746,1.56264,1.63129,0.57111,0.5407,0.54775,0.2629,1.7528,1.46089,1.70018,0.00069682,0.00069682,0.00069682
