epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,322.347,1.90576,2.23163,1.84845,0.48984,0.44092,0.43992,0.18334,1.93226,1.79945,1.86443,0.0667816,9.99551e-05,9.99551e-05
2,607.559,1.84267,2.07721,1.78839,0.53911,0.50082,0.50097,0.2083,1.93762,1.62542,1.83475,0.0335482,0.000199879,0.000199879
3,889.86,1.806,2.01551,1.76332,0.56375,0.50501,0.52003,0.22585,1.88244,1.56256,1.79246,0.000314465,0.000299497,0.000299497
4,1171.8,1.80335,1.99509,1.75761,0.52131,0.51314,0.50309,0.22062,1.86769,1.5825,1.77448,0.000298971,0.000298971,0.000298971
5,1460.86,1.79281,1.98259,1.74458,0.54823,0.50613,0.50966,0.2224,1.86654,1.5732,1.77768,0.000298172,0.000298172,0.000298172
6,1744.41,1.78712,1.96183,1.74241,0.53894,0.50822,0.50836,0.22167,1.88176,1.57167,1.78318,0.000297147,0.000297147,0.000297147
7,2028.7,1.78341,1.96633,1.73903,0.53962,0.50053,0.50261,0.21925,1.8782,1.58031,1.78065,0.000295897,0.000295897,0.000295897
8,2323.62,1.76998,1.9327,1.72597,0.53966,0.51386,0.5149,0.23032,1.83721,1.55302,1.75456,0.000294425,0.000294425,0.000294425
9,2628.72,1.77489,1.93596,1.73138,0.53802,0.51142,0.50653,0.23069,1.82714,1.55312,1.75001,0.000292732,0.000292732,0.000292732
10,2938.31,1.77775,1.949,1.73002,0.55249,0.50562,0.51274,0.2259,1.85072,1.56134,1.76843,0.000290821,0.000290821,0.000290821
11,3241,1.76985,1.9313,1.72364,0.55073,0.50751,0.51454,0.23199,1.85084,1.55458,1.761,0.000288696,0.000288696,0.000288696
12,3530.42,1.77221,1.92298,1.72673,0.54951,0.50987,0.51502,0.23318,1.82782,1.55349,1.74426,0.000286359,0.000286359,0.000286359
13,3819.4,1.76647,1.92826,1.72739,0.54394,0.51322,0.51536,0.22643,1.85217,1.57679,1.75959,0.000283814,0.000283814,0.000283814
14,4106.81,1.76843,1.91567,1.72639,0.54889,0.50183,0.51052,0.23257,1.83241,1.5599,1.75638,0.000281066,0.000281066,0.000281066
15,4395.48,1.76189,1.91781,1.71786,0.55744,0.50848,0.51698,0.23086,1.85856,1.54421,1.75884,0.000278117,0.000278117,0.000278117
16,4687.81,1.76583,1.92796,1.72494,0.54395,0.52084,0.51503,0.23092,1.83645,1.55071,1.74488,0.000274973,0.000274973,0.000274973
